Latitude,Ratings,url,Name,Longtitude
77.63925,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d6873669-Reviews-Murphy_s_Brewhouse-Bengaluru_Karnataka.html,Murphy's Brewhouse,6873669
77.64173,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d4269314-Reviews-Little_Italy-Bengaluru_Karnataka.html,Little Italy,4269314
77.66481,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d4011098-Reviews-Zaitoon-Bengaluru_Karnataka.html,Zaitoon,4011098
77.60466,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d807539-Reviews-Coconut_Grove-Bengaluru_Karnataka.html,Coconut Grove,807539
77.61319,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d850235-Reviews-Gramin-Bengaluru_Karnataka.html,Gramin,850235
77.62028,3.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d1227933-Reviews-A2B_Adyar_Ananda_Bhavan-Bengaluru_Karnataka.html,A2B - Adyar Ananda Bhavan,1227933
77.25176,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d2423508-Reviews-Kamat_Lokaruchi-Bengaluru_Karnataka.html,Kamat Lokaruchi,2423508
77.59575,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d10497798-Reviews-Farzi_Cafe-Bengaluru_Karnataka.html,Farzi Cafe,10497798
77.61549,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d2027963-Reviews-Mangalore_Pearl-Bengaluru_Karnataka.html,Mangalore Pearl,2027963
77.60189,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1094514-Reviews-Konark-Bengaluru_Karnataka.html,Konark,1094514
77.63816,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d949963-Reviews-Mainland_China-Bengaluru_Karnataka.html,Mainland China,949963
77.7508,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d8593419-Reviews-The_Biere_Club-Bengaluru_Karnataka.html,The Biere Club,8593419
77.55464,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d2288887-Reviews-Mezzaluna-Bengaluru_Karnataka.html,Mezzaluna,2288887
77.58512,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d4773925-Reviews-Masala_Klub-Bengaluru_Karnataka.html,Masala Klub,4773925
77.605934,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d800980-Reviews-Main_Land_China-Bengaluru_Karnataka.html,Main Land China,800980
77.61627,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d2442833-Reviews-Meghana_Foods-Bengaluru_Karnataka.html,Meghana Foods,2442833
77.60527,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d950558-Reviews-Ebony_Restaurant-Bengaluru_Karnataka.html,Ebony Restaurant,950558
77.60139,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d8815011-Reviews-Absolute_Barbecue-Bengaluru_Karnataka.html,Absolute Barbecue,8815011
77.613304,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d4971966-Reviews-Tandoor_MG_Road_Bangalore-Bengaluru_Karnataka.html,"Tandoor, MG Road, Bangalore",4971966
77.59627,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d5566811-Reviews-Spice_Terrace-Bengaluru_Karnataka.html,Spice Terrace,5566811
77.609344,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d7303443-Reviews-Soho_Street-Bengaluru_Karnataka.html,Soho Street,7303443
77.57718,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1050099-Reviews-Food_Street-Bengaluru_Karnataka.html,Food Street,1050099
77.59786,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d6610314-Reviews-Sancho_s-Bengaluru_Karnataka.html,Sancho's,6610314
77.62926,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d8768196-Reviews-Nasi_and_Mee-Bengaluru_Karnataka.html,Nasi and Mee,8768196
77.60299,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d3415806-Reviews-Chutney_Chang-Bengaluru_Karnataka.html,Chutney Chang,3415806
77.60085,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1111365-Reviews-The_Egg_Factory-Bengaluru_Karnataka.html,The Egg Factory,1111365
,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d7733149-Reviews-Kapoor_s_Cafe-Bengaluru_Karnataka.html,,
